exposicion,modelo,muestra,categoria,referencia,n,prevalencia_ajustada,diferencia_vs_ref,razon_vs_ref
ingresos,M3_actividad,disponible,5,5,19778,0.25488679,0.00000000,1.00000000
ingresos,M3_actividad,disponible,4,5,19778,0.29945645,0.04456967,1.17486064
ingresos,M3_actividad,disponible,3,5,19778,0.31210088,0.05721409,1.22446863
ingresos,M3_actividad,disponible,2,5,19778,0.28929606,0.03440927,1.13499826
ingresos,M3_actividad,disponible,1,5,19778,0.32854307,0.07365628,1.28897644
ingresos,M3_actividad,comun_M0_M4,5,5,19165,0.25559471,0.00000000,1.00000000
ingresos,M3_actividad,comun_M0_M4,4,5,19165,0.29886577,0.04327106,1.16929559
ingresos,M3_actividad,comun_M0_M4,3,5,19165,0.31161214,0.05601744,1.21916509
ingresos,M3_actividad,comun_M0_M4,2,5,19165,0.28755175,0.03195705,1.12503015
ingresos,M3_actividad,comun_M0_M4,1,5,19165,0.32430126,0.06870655,1.26881052
ingresos,M4_apoyo,disponible,5,5,19165,0.25959898,0.00000000,1.00000000
ingresos,M4_apoyo,disponible,4,5,19165,0.30037710,0.04077812,1.15708121
ingresos,M4_apoyo,disponible,3,5,19165,0.30999945,0.05040047,1.19414743
ingresos,M4_apoyo,disponible,2,5,19165,0.28346602,0.02386704,1.09193813
ingresos,M4_apoyo,disponible,1,5,19165,0.31698693,0.05738795,1.22106386
ingresos,M4_apoyo,comun_M0_M4,5,5,19165,0.25959898,0.00000000,1.00000000
ingresos,M4_apoyo,comun_M0_M4,4,5,19165,0.30037710,0.04077812,1.15708121
ingresos,M4_apoyo,comun_M0_M4,3,5,19165,0.30999945,0.05040047,1.19414743
ingresos,M4_apoyo,comun_M0_M4,2,5,19165,0.28346602,0.02386704,1.09193813
ingresos,M4_apoyo,comun_M0_M4,1,5,19165,0.31698693,0.05738795,1.22106386
